keys,es
Buy one in the League Store (Items screen).,Compra una en la Tienda de la Liga (pantalla de Objetos).
League Store >,Tienda de la Liga >
Effective Lv %d  (Lv %d + %d from %d training development pts),Nv. efectivo %d  (Nv. %d + %d por %d ptos. de desarrollo)
Levels are static in this league — training development is what pushes a Pokémon past evolution thresholds (6 dev pts = 1 effective level).,En esta liga los niveles son estáticos: el desarrollo por entrenamiento es lo que empuja a un Pokémon más allá de los umbrales de evolución (6 ptos. = 1 nivel efectivo).
"Transform %s into %s now: +%d morale, old learnset stays trainable.",Transforma a %s en %s ahora: +%d de moral y su antiguo repertorio sigue entrenable.
"Hold it back: costs %d morale, the offer returns in %d days if still eligible.",Frénalo: cuesta %d de moral y la oferta vuelve en %d días si sigue siendo apto.
Time remaining,Tiempo restante
%d days,%d días
Share of wage bill,Parte de la masa salarial
Renewal demand,Pretensión de renovación
"~%s/wk, %d-year deal","~%s/sem, contrato de %d años"
Transfer status,Situación de traspaso
Live bids,Ofertas vivas
%d (best %s),%d (mejor: %s)
Talks broke down — no renegotiation before %s.,La negociación fracasó; sin renegociación antes del %s.
Transfers & Contracts,Traspasos y contratos
No contract or transfer events recorded yet.,Aún no hay eventos de contrato o traspaso registrados.
Development Log,Registro de desarrollo
"No development recorded yet — attribute gains, learned moves and level changes will appear here.","Aún sin desarrollo registrado: aquí aparecerán ganancias de atributos, movimientos aprendidos y cambios de nivel."
Career Stats — Season By Season,Estadísticas de carrera — temporada a temporada
AV RAT,MEDIA
Current season (live),Temporada actual (en vivo)
%d season%s,%d temporada%s
Aggregated from every competitive fixture; the current season updates live and is frozen at season end.,Agregado de cada partido oficial; la temporada actual se actualiza en vivo y se congela al terminar.
Past seasons are frozen records; the current season (·) updates live from competitive fixtures.,Las temporadas pasadas son registros congelados; la actual (·) se actualiza en vivo con los partidos oficiales.
Attribute Progression,Progresión de atributos
No snapshots recorded yet.,Aún sin instantáneas registradas.
IV %s,IV %s
IV NOW,IV AHORA
EFF THEN,EF. ANTES
EFF NOW,EF. AHORA
Total effective stats,Total de estadísticas efectivas
Market value,Valor de mercado
%d snapshot%s since %s (weekly + on every attribute change). Development window: last %d days.,%d instantánea%s desde el %s (semanal y en cada cambio de atributo). Ventana de desarrollo: últimos %d días.
%d event%s on record,%d evento%s registrados
NORMAL,NORMAL
FIRE,FUEGO
WATER,AGUA
GRASS,PLANTA
ELECTRIC,ELÉCTRICO
FIGHTING,LUCHA
POISON,VENENO
GROUND,TIERRA
FLYING,VOLADOR
PSYCHIC,PSÍQUICO
ROCK,ROCA
GHOST,FANTASMA
DRAGON,DRAGÓN
DARK,SINIESTRO
STEEL,ACERO
FAIRY,HADA
BRN,QUE
SLP,DOR
PSN,ENV
FRZ,CGL
Item,Objeto
Class,Clase
Rarity,Rareza
Effect,Efecto
Price,Precio
Owned,En stock
All items,Todos los objetos
Held (passive in battle),Equipable (pasivo en combate)
Usable (trainer action),Usable (acción del entrenador)
Evolution stones,Piedras evolutivas
Any rarity,Cualquier rareza
Common,Común
Uncommon,Poco común
Rare,Raro
Storeroom,Almacén
Prospects,Promesas
Shortlisted,En la lista de seguimiento
Transfer-listed,Transferibles
Rumour,Rumor
Initial,Inicial
Partial,Parcial
Detailed,Detallado
FULL,COMPLETO
New,Nuevo
Primary Plan,Plan principal
(H),(L)
(A),(V)
Fast opener (SPE %d),Abridor veloz (VEL %d)
Can put the opposing lead to sleep,Puede dormir al inicial rival
Spreads paralysis,Reparte parálisis
Softens up with stat drops,Ablanda al rival bajando estadísticas
Sets defensive screens,Coloca pantallas defensivas
Priority move for safe chip damage,Movimiento de prioridad para desgastar sin riesgo
Big attacking stat (%d),Gran estadística ofensiva (%d)
Outspeeds most of the league,Supera en velocidad a casi toda la liga
Set-up move to snowball,Movimiento de mejora para crecerse
High-power STAB attack,Ataque STAB de gran potencia
Drains HP to stay healthy,Drena PS para mantenerse sano
Genuinely bulky (HP/DEF/SPD),Robustez real (PS/DEF/DEF. ESP.)
Reliable recovery,Recuperación fiable
Wears attackers down with status,Desgasta a los atacantes con estados
Boosts its own defences,Refuerza sus propias defensas
Drain moves extend its stay,Los movimientos de drenado alargan su estancia
Resists %d attack types,Resiste %d tipos de ataque
Coverage across %d attack types,Cobertura de %d tipos de ataque
Few exploitable weaknesses,Pocas debilidades explotables
Disrupts on the switch,Incordia al entrar en el cambio
Elite speed (SPE %d),Velocidad de élite (VEL %d)
Priority move beats anything,Su movimiento de prioridad gana a cualquiera
Hits hard immediately,Golpea fuerte de inmediato
Recovery keeps it on the field,La recuperación lo mantiene en el campo
Sleep buys free turns,Dormir al rival regala turnos
Paralysis support,Apoyo con parálisis
Screens protect the team,Las pantallas protegen al equipo
%d support moves,%d movimientos de apoyo
No attributes that fit this role,Sin atributos que encajen en este rol
Stage,Etapa
Workload,Carga
Strain,Desgaste
Learning,Aprendiendo
Focus,Enfoque
Progress,Progreso
Moves,Movimientos
Evolution,Evolución
FIXTURE,PARTIDO
today,hoy
Prep,Preparar
Rest,Descanso
 (likely starter — carries match strain), (probable titular — acumula el desgaste de los partidos)
%s is unhappy with the training workload,%s no está a gusto con la carga de entrenamiento
"%s has been forced onto %s training while carrying %d%% strain and is reacting badly — morale is down to %d%% and the physio warns the injury risk is climbing. Drop the individual load to Light, or set it to Automatic and let the staff manage it.",%s se ha visto forzado a entrenar con carga %s arrastrando un %d%% de desgaste y lo está acusando: la moral ha caído al %d%% y el fisio avisa de que el riesgo de lesión va en aumento. Baja su carga individual a Ligera o ponla en Automático y deja que el cuerpo técnico la gestione.
%s wants to train more,%s quiere entrenar más
"%s is fresh (%d%% strain) and at a rapid stage of development, but is being held on a %s individual load. The coaches feel valuable growth is being wasted; morale will suffer if this continues.","%s está fresco (%d%% de desgaste) y en una etapa de desarrollo rápido, pero se le mantiene con una carga individual %s. Los entrenadores creen que se está desperdiciando un crecimiento valioso; la moral se resentirá si esto continúa."
"Plan opponent prep for THIS fixture: light Match-Prep-heavy plans on the %d day(s) before %s %s (per-date — the weekday template is untouched). Match Prep raises condition, which the match sim rates battlers by.","Planifica la preparación del rival para ESTE partido: sesiones ligeras volcadas en preparación los %d día(s) previos al %s %s (por fecha; la plantilla semanal no se toca). La preparación de partido sube el estado, con el que el simulador valora a los combatientes."
Basic Facilities,Instalaciones básicas
Adequate Facilities,Instalaciones aceptables
Established Facilities,Instalaciones consolidadas
Professional Facilities,Instalaciones profesionales
Elite Facilities,Instalaciones de élite
Current,Actual
Dev,Des.
20% chance each turn for the holder to move first within its priority bracket.,20 % de probabilidad por turno de que el portador actúe primero dentro de su franja de prioridad.
Attackers striking the holder with physical moves lose 1/6 of their max HP.,Los atacantes que golpean al portador con movimientos físicos pierden 1/6 de sus PS máximos.
"Boosts Attack by 50%, but locks the holder into the first move it uses.","Aumenta el Ataque un 50 %, pero fija al portador en el primer movimiento que use."
"Boosts Sp. Atk by 50%, but locks the holder into the first move it uses.","Aumenta el At. Esp. un 50 %, pero fija al portador en el primer movimiento que use."
"Boosts Speed by 50%, but locks the holder into the first move it uses.","Aumenta la Velocidad un 50 %, pero fija al portador en el primer movimiento que use."
"Boosts move damage by 30%, but the holder loses 10% max HP after each attack.","Aumenta el daño de los movimientos un 30 %, pero el portador pierde un 10 % de sus PS máximos tras cada ataque."
Cures a paralyzed Pokémon.,Cura a un Pokémon paralizado.
Cures a poisoned Pokémon.,Cura a un Pokémon envenenado.
Cures all status conditions and confusion on one Pokémon.,Cura todos los problemas de estado y la confusión de un Pokémon.
Cures the holder of any status condition or confusion the moment it strikes. Single use.,Cura al portador de cualquier problema de estado o confusión en cuanto aparece. Un solo uso.
Cures the holder of paralysis the moment it is inflicted. Single use.,Cura la parálisis del portador en cuanto se produce. Un solo uso.
Cures the holder of poison the moment it is inflicted. Single use.,Cura el envenenamiento del portador en cuanto se produce. Un solo uso.
Doubles the holder's critical-hit chance.,Duplica la probabilidad de golpe crítico del portador.
Doubles your active Pokémon's critical-hit chance for the rest of the battle.,Duplica la probabilidad de golpe crítico de tu Pokémon activo durante el resto del combate.
Fully restores HP and cures all status conditions and confusion.,Restaura todos los PS y cura todos los problemas de estado y la confusión.
Fully restores one of your Pokémon's HP.,Restaura todos los PS de uno de tus Pokémon.
Heals a burned Pokémon.,Cura a un Pokémon quemado.
Heals the holder's burn the moment it is inflicted. Single use.,Cura la quemadura del portador en cuanto se produce. Un solo uso.
"If the holder is at full HP, it survives a knockout blow with 1 HP. Single use.","Si el portador tiene todos sus PS, sobrevive a un golpe debilitador con 1 PS. Un solo uso."
Moves aimed at the holder are 10% less accurate.,Los movimientos dirigidos al portador son un 10 % menos precisos.
Prevents the opponent from lowering your active Pokémon's stats for 5 turns.,Impide que el rival baje las estadísticas de tu Pokémon activo durante 5 turnos.
Raises Defense and Sp. Def by 50% if the holder can still evolve.,Aumenta la Defensa y la Def. Esp. un 50 % si el portador aún puede evolucionar.
"Raises Sp. Def by 50%, but the holder cannot select status moves.","Aumenta la Def. Esp. un 50 %, pero el portador no puede elegir movimientos de estado."
Raises your active Pokémon's Defense by one stage.,Sube un nivel la Defensa de tu Pokémon activo.
Raises your active Pokémon's Sp. Atk by one stage.,Sube un nivel el At. Esp. de tu Pokémon activo.
Raises your active Pokémon's Sp. Def by one stage.,Sube un nivel la Def. Esp. de tu Pokémon activo.
Raises your active Pokémon's Speed by one stage.,Sube un nivel la Velocidad de tu Pokémon activo.
Restores 120 HP to one of your Pokémon.,Restaura 120 PS a uno de tus Pokémon.
Restores 20 HP to one of your Pokémon.,Restaura 20 PS a uno de tus Pokémon.
Restores 25% max HP when the holder drops to half health or below. Single use.,Restaura un 25 % de los PS máximos cuando el portador cae a la mitad de salud o menos. Un solo uso.
Restores 60 HP to one of your Pokémon.,Restaura 60 PS a uno de tus Pokémon.
Revives a fainted Pokémon with full HP.,Revive a un Pokémon debilitado con todos sus PS.
Revives a fainted Pokémon with half its max HP.,Revive a un Pokémon debilitado con la mitad de sus PS máximos.
Sharply focuses your active Pokémon: raises Attack by one stage.,Concentra a fondo a tu Pokémon activo: sube un nivel su Ataque.
Snaps the holder out of confusion the moment it sets in. Single use.,Saca al portador de la confusión en cuanto aparece. Un solo uso.
Thaws a frozen Pokémon.,Descongela a un Pokémon congelado.
Thaws the holder the moment it is frozen. Single use.,Descongela al portador en cuanto se congela. Un solo uso.
The holder restores 1/16 of its max HP at the end of every turn.,El portador restaura 1/16 de sus PS máximos al final de cada turno.
The holder restores HP equal to 1/8 of the damage it deals.,El portador restaura PS equivalentes a 1/8 del daño que inflige.
The holder's damaging moves gain a 10% chance to make the target flinch.,Los movimientos dañinos del portador ganan un 10 % de probabilidad de amedrentar al objetivo.
Wakes a sleeping Pokémon.,Despierta a un Pokémon dormido.
Wakes the holder the moment it falls asleep. Single use.,Despierta al portador en cuanto se duerme. Un solo uso.
Boosts the power of the holder's Bug-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Bicho del portador.
Boosts the power of the holder's Dragon-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Dragón del portador.
Boosts the power of the holder's Electric-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Eléctrico del portador.
Boosts the power of the holder's Fighting-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Lucha del portador.
Boosts the power of the holder's Fire-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Fuego del portador.
Boosts the power of the holder's Flying-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Volador del portador.
Boosts the power of the holder's Ghost-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Fantasma del portador.
Boosts the power of the holder's Grass-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Planta del portador.
Boosts the power of the holder's Ground-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Tierra del portador.
Boosts the power of the holder's Ice-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Hielo del portador.
Boosts the power of the holder's Normal-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Normal del portador.
Boosts the power of the holder's Poison-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Veneno del portador.
Boosts the power of the holder's Psychic-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Psíquico del portador.
Boosts the power of the holder's Rock-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Roca del portador.
Boosts the power of the holder's Water-type moves by 20%.,Aumenta un 20 % la potencia de los movimientos de tipo Agua del portador.
A run of battles,Una racha de partidos
a run of battles — %d appearances within %d days,una racha de partidos: %d apariciones en %d días
An improved contract,Un contrato mejorado
an improved contract within %d days,un contrato mejorado en %d días
Removal from the transfer list,Salir de la lista de transferibles
removal from the transfer list within %d days,salir de la lista de transferibles en %d días
Strong form this season (av %.2f) pushes the price up.,Su gran estado de forma esta temporada (media %.2f) sube el precio.
Weak form (av %.2f) keeps demands modest.,Su forma discreta (media %.2f) mantiene unas pretensiones modestas.
Low morale: wants convincing to stay.,Moral baja: necesita que lo convenzan para quedarse.
Transfer-listed: negotiating from weakness.,Transferible: negocia desde la debilidad.
Ambitious character: expects wages to match their standing.,Carácter ambicioso: espera un salario a la altura de su estatus.
Loyal to the club: flexible to get a deal done.,Leal al club: flexible para cerrar el acuerdo.
Still smarting from a broken promise: wants proof in writing.,Aún dolido por una promesa rota: quiere garantías por escrito.
Young with high ceiling: wants a long deal.,Joven con mucho techo: quiere un contrato largo.
Veteran: happy with a short extension.,Veterano: se conforma con una renovación corta.
Contract nearly up: knows the leverage is theirs.,Contrato a punto de expirar: sabe que la sartén está de su lado.
No longer in the squad.,Ya no está en la plantilla.
Talks broke down recently. %s will not renegotiate before %s.,Las conversaciones se rompieron hace poco. %s no renegociará antes del %s.
"That wage takes the bill to %s/wk, over our %s/wk budget.","Ese salario eleva la masa salarial a %s/sem, por encima de nuestro presupuesto de %s/sem."
We cannot afford a %s signing bonus (balance %s).,No podemos permitirnos una prima de firma de %s (saldo %s).
%s signs a new %d-year deal at %s/wk%s.,%s firma un nuevo contrato de %d años a %s/sem%s.
 with a %s bonus, con una prima de %s
 This is close to their final position., Esto está cerca de su postura definitiva.
%s rejects the offer but lowers the demand to %s/wk.%s,%s rechaza la oferta pero rebaja su exigencia a %s/sem.%s
Contract talks collapsed,Las negociaciones de contrato se rompieron
Contract talks collapsed instead of a new deal.,Las negociaciones se rompieron en lugar de cerrarse un nuevo contrato.
Contract talks collapse: %s,Ruptura de negociaciones: %s
"%s walked out of contract talks after an offer of %s/wk against a demand of %s/wk. They will not return to the table before %s, and morale has taken a hit.","%s se levantó de la mesa tras una oferta de %s/sem frente a una exigencia de %s/sem. No volverá a negociar antes del %s, y su moral ha acusado el golpe."
%s is insulted and walks out. No talks before %s.,%s se siente insultado y se marcha. No habrá conversaciones antes del %s.
Signed a new %d-year deal at %s/wk,Firmó un nuevo contrato de %d años a %s/sem
Contract renewed: %s,Contrato renovado: %s
%s has signed a new %d-year contract at %s/wk (was %s/wk)%s. The deal runs to %s.,%s ha firmado un nuevo contrato de %d años a %s/sem (antes %s/sem)%s. El acuerdo expira el %s.
", plus a %s signing bonus",", más una prima de firma de %s"
Cannot list anyone — the squad is already at the minimum of %d.,No se puede poner a nadie en venta: la plantilla ya está en el mínimo de %d.
Placed on the transfer list,Puesto en la lista de transferibles
 — loyalty deepens the wound, — su lealtad agranda la herida
Transfer listed: %s,Transferible: %s
%s has been placed on the transfer list at %s. Rival clubs will weigh the price against our %s valuation; morale has dipped. Bids will arrive in the Squad screen.,%s ha sido puesto en la lista de transferibles por %s. Los clubes rivales sopesarán el precio frente a nuestra valoración de %s; la moral ha bajado. Las ofertas llegarán a la pantalla de Plantilla.
Taken off the transfer list,Retirado de la lista de transferibles
Removed from transfer list: %s,Retirado de la lista de transferibles: %s
%s is no longer for sale. Any open bids have been withdrawn.,%s ya no está en venta. Todas las ofertas abiertas han sido retiradas.
That bid is no longer live.,Esa oferta ya no está activa.
They are no longer in our squad.,Ya no está en nuestra plantilla.
Cannot sell — we need at least %d in the squad.,No se puede vender: necesitamos al menos %d en la plantilla.
The bidding club no longer exists.,El club ofertante ya no existe.
Sale completed: %s to %s,Venta completada: %s al %s
%s leaves for %s in a %s deal. The fee has been added to our balance (now %s).,%s se marcha al %s en una operación de %s. El importe se ha añadido a nuestro saldo (ahora %s).
Cannot release anyone — we need at least %d in the squad.,No se puede rescindir a nadie: necesitamos al menos %d en la plantilla.
We cannot afford the %s compensation payout (balance %s).,No podemos afrontar la indemnización de %s (saldo %s).
%s was released — the dressing room noticed,%s fue despedido — el vestuario tomó nota
Contract terminated: %s,Contrato rescindido: %s
%s has been released%s and enters free agency. The rest of the squad's morale dipped slightly.,%s ha sido liberado%s y pasa a ser agente libre. La moral del resto de la plantilla ha bajado ligeramente.
 at a cost of %s in compensation, con un coste de %s en concepto de indemnización
You spoke to %s recently. Wait until %s before another chat.,Ya hablaste con %s hace poco. Espera hasta el %s para otra charla.
%s beams at the recognition of a %.2f-rated season. Morale +%d.,%s se ilumina al ver reconocida una temporada con una media de %.2f. Moral +%d.
Praised for a %.2f-rated run of form,Elogiado por una racha con una media de %.2f
%s appreciates the encouragement%s. Morale +%d.,%s agradece el respaldo%s. Moral +%d.
 (though a %s barely needs it), (aunque un carácter %s apenas lo necesita)
Encouraged by the manager,Animado por el entrenador
%s knows the recent form (%.2f) does not merit praise and doubts your judgement%s. Morale %d.,%s sabe que su forma reciente (%.2f) no merece elogios y duda de tu criterio%s. Moral %d.
 — a %s hates hollow flattery, — un carácter %s detesta la adulación vacía
Saw through hollow praise,Caló los elogios vacíos
%s accepts the criticism of a %.2f-rated run and vows to respond%s. Morale %d.,%s acepta la crítica a una racha con media de %.2f y promete responder%s. Moral %d.
 — the professionalism shows, — se nota la profesionalidad
 — though the %s temper flares, — aunque su temperamento %s se enciende
Fairly criticised for weak form,Criticado con razón por su mala forma
%s feels hard done by — they have not even battled yet%s. Morale %d.,%s se siente agraviado: aún no ha disputado ni un combate%s. Moral %d.
 — and a %s does not forget it, — y un carácter %s no lo olvida
Criticised without having battled,Criticado sin haber combatido
%s is furious: a %.2f average does not deserve a dressing-down%s. Morale %d.,%s está furioso: una media de %.2f no merece una bronca%s. Moral %d.
 — expect the %s reaction to linger, — la reacción de un carácter %s tardará en apagarse
Unfairly criticised despite good form,Criticado injustamente pese a su buena forma
Unknown promise.,Promesa desconocida.
"A promise is already outstanding (%s, deadline %s). One at a time — your word has to mean something.","Ya hay una promesa pendiente (%s, fecha límite %s). De una en una: tu palabra tiene que valer algo."
%s is not on the transfer list.,%s no está en la lista de transferibles.
Talks broke down recently — promising a new deal now would ring hollow (locked until %s).,Las negociaciones se rompieron hace poco; prometer un contrato ahora sonaría hueco (bloqueado hasta el %s).
The manager promised %s,El entrenador prometió %s
Promise made: %s,Promesa hecha: %s
You promised %s %s The squad screen tracks it; keep it by %s or the trust you bought today comes back with interest.,Le prometiste a %s %s La pantalla de Plantilla le hace seguimiento; cúmplela antes del %s o la confianza que has comprado hoy volverá con intereses.
%s leaves the office with your word: %s Deadline %s.,%s sale del despacho con tu palabra: %s Fecha límite: %s.
Promise kept: %s,Promesa cumplida: %s
Your word held: %s %s noticed — and so did the rest of the squad. Promises kept are the cheapest morale tool a manager has.,"Tu palabra se mantuvo: %s %s lo notó, y el resto de la plantilla también. Las promesas cumplidas son la herramienta de moral más barata que tiene un entrenador."
Saw the manager break a promise to %s,Vio al entrenador romper una promesa a %s
Promise broken: %s,Promesa rota: %s
"The deadline passed on your promise to %s (%s). Morale has taken a real hit (%d), the distrust will poison contract talks for weeks, and the rest of the squad saw it happen.","Venció el plazo de tu promesa a %s (%s). La moral ha sufrido un golpe serio (%d), la desconfianza envenenará las negociaciones de contrato durante semanas y el resto de la plantilla lo vio suceder."
Training focus: %s,Enfoque de entrenamiento: %s
%s will now focus individual training on %s.,%s centrará a partir de ahora su entrenamiento individual en %s.
Bid expired: %s,Oferta expirada: %s
%s's %s bid for %s has expired without a response.,La oferta del %s (%s por %s) ha expirado sin respuesta.
Bid received: %s offer %s for %s,Oferta recibida: %s ofrece %s por %s
%s have bid %s for the transfer-listed %s (asking price %s). Accept or reject the bid from the Squad screen before %s.,%s ha ofrecido %s por el transferible %s (precio de venta %s). Acepta o rechaza la oferta desde la pantalla de Plantilla antes del %s.
"Day-to-day life: training load, coach handling and small events","El día a día: carga de entrenamiento, trato del cuerpo técnico y pequeños sucesos"
Praise,Elogio
Criticism,Crítica
Sale,Venta
Set nickname — %s,Poner mote — %s
Done,Hecho
Agreed,Acordado
Accept,Aceptar
Reject,Rechazar
Release,Rescindir
Save,Guardar
Pokémon,Pokémon
Unknown club.,Club desconocido.
YOUR CLUB,TU CLUB
Manager %s  ·  Reputation %d/20  ·  Balance %s%s  ·  Wage budget %s%s/m,Entrenador %s  ·  Reputación %d/20  ·  Saldo %s%s  ·  Presupuesto salarial %s%s/mes
Squad · click a Pokémon for its profile,Plantilla · haz clic en un Pokémon para ver su perfil
%s — view Pokémon profile,%s — ver perfil del Pokémon
Staff,Cuerpo técnico
No staff registered.,Sin cuerpo técnico registrado.
best: %s %d/20,mejor: %s %d/20
%s position,Posición del %s
Battle diff,Dif. de combates
Position trend,Evolución de la posición
After MD %d,Tras la J%d
Best rated,Mejor valorado
Awaiting draw,A la espera del sorteo
Out in %s,Eliminado en %s
In the %s,En %s
This Pokémon is no longer registered with any club.,Este Pokémon ya no está registrado en ningún club.
Unattached,Sin club
·  Age %s  ·  %s%s/m until %s,·  Edad %s  ·  %s%s/mes hasta el %s
AVG RATING,MEDIA
Attributes · base (IV),Atributos · base (IV)
No competitive appearances yet this season.,Aún sin apariciones oficiales esta temporada.
Battle apps,Combates
KOs / app,KOs / comb.
Damage dealt,Daño infligido
Damage taken,Daño recibido
Avg rating,Nota media
Rating trend,Evolución de la nota
VS THE LEAGUE · percentile among all Pokémon with an appearance,VS LA LIGA · percentil entre todos los Pokémon con alguna aparición
Damage / app,Daño / comb.
Survival %,% supervivencia
Match Log · click an opponent or result to follow it,Registro de partidos · haz clic en un rival o resultado para seguirlo
No club — no fixtures.,Sin club — sin partidos.
Comp,Comp.
%s (%s) — view Pokémon profile,%s (%s) — ver perfil del Pokémon
%s: %s — %d. percentile league-wide,%s: %s — percentil %d en toda la liga
Choose which team stat columns are shown — or build your own view with Columns,"Elige qué columnas de estadísticas de equipo se muestran, o crea tu propia vista con Columnas"
Club (click for profile),Club (clic para el perfil)
League the club competes in,Liga en la que compite el club
%d clubs with matches played · all marks from recorded match details,%d clubes con partidos jugados · todas las marcas provienen de actas reales
"%s
Damage dealt / battle: %d
Damage taken / battle: %d
Battle win rate: %d%%","%s
Daño infligido / combate: %d
Daño recibido / combate: %d
%% de combates ganados: %d%%"
"%s (%s, Lv %d) — %s
Avg rating %.2f over %d apps · %d KOs","%s (%s, Nv %d) — %s
Nota media %.2f en %d apariciones · %d KOs"
"%s (%s, Lv %d) — %s
Avg rating %s over %d apps · %d KOs","%s (%s, Nv %d) — %s
Nota media %s en %d apariciones · %d KOs"
"%s
KOs scored %d · conceded %d · difference %+d","%s
KOs a favor %d · en contra %d · diferencia %+d"
"%s
Home battle-win %d%% (%d-%d) · away %d%% (%d-%d)","%s
Combates ganados en casa %d%% (%d-%d) · fuera %d%% (%d-%d)"
%s · MATCHDAY %d,%s · JORNADA %d
%d turns,%d turnos
%s · TOP FOUR AS IT STANDS,%s · LOS CUATRO PRIMEROS A DÍA DE HOY
Your status,Tu situación
The position graph appears after the first full matchday.,El gráfico de posiciones aparece tras la primera jornada completa.
No data yet.,Aún sin datos.
League percentile: %d (higher is better),"Percentil en la liga: %d (cuanto más alto, mejor)"
Prospect,Promesa
View,Ver
Remove,Quitar
Pass,Descartar
Unshortlist,Quitar del seguimiento
Recall,Retirar
Hire,Contratar
Wage,Salario
Knowledge,Conocimiento
Free,Libre
Deal,Operación
Structure,Estructura
Withdrawn,Retirada
Withdraw offer,Retirar oferta
Send,Enviar
Assign,Asignar
Market,Mercado
Whisper,Un rumor
Warm,Interés tibio
Strong,Interés firme
Rotation,Rotación
name and level only,solo nombre y nivel
wide value + attribute bands,horquillas amplias de valor y atributos
Initial assessment,Evaluación inicial
"bands tighten, region intel","las horquillas se estrechan, información de la región"
Part scouted,Parcialmente ojeado
"move set, nature + interim report (star bands)","movimientos, naturaleza e informe provisional (horquilla de estrellas)"
"battle ability confirmed, tight bands, reliable wage read","habilidad de combate confirmada, horquillas precisas, lectura fiable del salario"
Full report,Informe completo
"exact attributes, IVs, final stars","atributos exactos, IVs, estrellas definitivas"
%s have lodged an offer of %s for %s (our valuation: %s). Nothing that demands an immediate answer — it sits in the Transfer Centre until %s if you want to deal.,%s ha presentado una oferta de %s por %s (nuestra valoración: %s). Nada que exija respuesta inmediata: queda en el Centro de traspasos hasta el %s por si quieres negociar.
Very Cautious,Muy cauto
Aggressive,Agresivo
Hyper-Aggressive,Hiperagresivo
%s softens whatever it faces on entry,%s ablanda a cualquiera que tenga delante al entrar
%s sets the weather from turn one,%s impone el clima desde el primer turno
%s snowballs its Speed every turn,%s dispara su Velocidad turno a turno
%s multiplies its attacking power,%s multiplica su poder ofensivo
%s sheds status on the switch out,%s se limpia los estados al retirarse
%s guarantees it survives the first blow,%s tiene garantizado sobrevivir al primer golpe
%s throws off status over time,%s se sacude los estados con el tiempo
%s can't be softened up,a %s no se le puede debilitar las estadísticas
%s punishes physical contact,%s castiga el contacto físico
%s turns status against the attacker,%s devuelve los estados al atacante
%s grants free switch-ins vs %s,%s entra gratis contra %s
%s's Fire attacks hit ×1.5,"los ataques de Fuego de %s pegan ×1,5"
%s's Water attacks fall to ×0.5,"los ataques de Agua de %s caen a ×0,5"
%s's Water attacks hit ×1.5,"los ataques de Agua de %s pegan ×1,5"
%s's Fire attacks fall to ×0.5,"los ataques de Fuego de %s caen a ×0,5"
%s gains ×1.5 Sp. Def (Rock type),"%s gana ×1,5 en Def. Esp. (tipo Roca)"
%s takes 1/16 chip damage each turn,%s sufre 1/16 de desgaste cada turno
%s vs %s: ×%s%s,%s vs %s: ×%s%s
%s attacks take ×%s on %s,los ataques de %s hacen ×%s a %s
"%d hit %s super-effectively:
%s","%d golpean a %s de forma supereficaz:
%s"
"%d weak to %s:
%s","%d débiles a %s:
%s"
"%s — %s %s, %s, acc %s","%s — %s %s, %s, prec. %s"
Collapse %s sections,Contraer las secciones de %s
%s Club Secretary,Secretaría del %s
%s (Coach),%s (entrenador)
%s reports back on the promise you made.,%s te informa sobre la promesa que hiciste.
"Boss — {name} asked me to pass on a rare thing in this business: thanks. The promised run of battles ([b]{apps}[/b] appearances) landed, and so has the message that this club keeps its word.","Jefe: {name} me ha pedido que te transmita algo poco habitual en este negocio: las gracias. La racha de partidos prometida ([b]{apps}[/b] apariciones) se cumplió, y con ella el mensaje de que este club mantiene su palabra."
"They will sing about this one for years. [b]%s[/b] beat %s %d-%d in the Indigo Cup Final and the trophy is theirs. Whatever happens in the league now, this season is already immortal.","Esto se cantará durante años. [b]%s[/b] venció a %s por %d-%d en la final de la Copa Añil y el trofeo es suyo. Pase lo que pase ya en la liga, esta temporada es inmortal."
Nobody outside the %s dressing room saw this coming. A club with a reputation of %d/20 dismantling [b]%s[/b] (%d/20) by %d-%d is the kind of result that changes how a league talks about you. %s's side played without fear — and the giants blinked first.,"Nadie fuera del vestuario del %s vio venir esto. Que un club con reputación %d/20 desarme a [b]%s[/b] (%d/20) por %d-%d es de esos resultados que cambian cómo habla de ti una liga. El equipo de %s jugó sin miedo, y los gigantes parpadearon primero."
